Node ID,Order
1,0
103,1
116,2
14,3
149,4
159,5
161,6
194,7
2,8
16,9
224,10
183,11
146,12
228,13
232,14
113,15
24,16
175,17
260,18
3,19
17,20
31,21
127,22
35,23
39,24
4,25
20,26
27,27
177,28
41,29
48,30
106,31
51,32
185,33
53,34
54,35
61,36
65,37
246,38
72,39
76,40
80,41
160,42
91,43
92,44
231,45
148,46
97,47
192,48
140,49
119,50
200,51
219,52
212,53
176,54
233,55
137,56
198,57
235,58
240,59
244,60
245,61
107,62
251,63
254,64
26,65
169,66
261,67
281,68
267,69
168,70
132,71
216,72
120,73
23,74
184,75
252,76
186,77
258,78
141,79
264,80
121,81
138,82
171,83
271,84
286,85
124,86
34,87
102,88
38,89
153,90
193,91
62,92
155,93
203,94
29,95
64,96
226,97
67,98
114,99
259,100
110,101
265,102
25,103
275,104
165,105
70,106
78,107
156,108
69,109
30,110
274,111
81,112
112,113
204,114
142,115
257,116
45,117
130,118
56,119
178,120
74,121
238,122
248,123
250,124
236,125
256,126
242,127
278,128
187,129
285,130
59,131
158,132
222,133
188,134
247,135
173,136
227,137
134,138
220,139
284,140
50,141
211,142
143,143
217,144
164,145
234,146
223,147
253,148
101,149
277,150
279,151
133,152
282,153
126,154
36,155
115,156
139,157
128,158
210,159
205,160
111,161
214,162
123,163
208,164
105,165
22,166
270,167
174,168
201,169
144,170
206,171
179,172
230,173
218,174
239,175
135,176
249,177
109,178
263,179
266,180
195,181
272,182
273,183
150,184
255,185
100,186
162,187
108,188
12,189
280,190
189,191
287,192
37,193
46,194
136,195
229,196
152,197
52,198
166,199
15,200
57,201
170,202
154,203
6,204
73,205
79,206
71,207
8,208
82,209
269,210
83,211
207,212
84,213
151,214
19,215
10,216
85,217
88,218
28,219
221,220
40,221
213,222
276,223
180,224
32,225
89,226
145,227
21,228
172,229
215,230
199,231
33,232
163,233
49,234
60,235
90,236
197,237
202,238
47,239
55,240
94,241
129,242
87,243
42,244
95,245
43,246
268,247
118,248
63,249
181,250
11,251
5,252
96,253
190,254
241,255
104,256
209,257
122,258
262,259
283,260
44,261
237,262
182,263
147,264
191,265
196,266
13,267
58,268
66,269
243,270
167,271
68,272
131,273
7,274
77,275
125,276
225,277
86,278
157,279
93,280
98,281
99,282
75,283
117,284
18,285
9,286
