ranking_A,ranking_B,forward_w_A,forward_ratio_A,forward_w_B,forward_ratio_B,forward_w_mean,forward_w_min,forward_w_max,forward_w_gap,n,mean_signed,var_signed,std_signed,mean_abs,var_abs,std_abs,median_signed,median_abs,mad_signed,mad_abs,min_signed,max_signed,min_abs,max_abs,p50_abs,p90_abs,p95_abs,p99_abs
connectome_hybrid_ranking-48cpu,connectome_hybrid_ranking-24cpu,35463423.0,0.8461372326457863,35463349.0,0.8461354670476032,35463386.0,35463349.0,35463423.0,74.0,136648,0.0,2599078.39349277,1612.1657462844105,712.1367601428487,2091939.6283460164,1446.3539084007125,0.0,218.5,218.5,184.5,-29185,31229,0,31229,218.5,2088.0,3848.0,5920.239999999991
connectome_hybrid_ranking-48cpu,connectome_hybrid_ranking-12cpu,35463423.0,0.8461372326457863,35463823.0,0.8461467764197491,35463623.0,35463423.0,35463823.0,400.0,136648,0.0,2639119.9221649785,1624.536833120437,714.7595134945261,2128238.760034047,1458.8484362791246,0.0,244.0,244.0,196.0,-32497,31184,0,32497,244.0,1937.0,3452.649999999994,6727.119999999995
connectome_hybrid_ranking-24cpu,connectome_hybrid_ranking-12cpu,35463349.0,0.8461354670476032,35463823.0,0.8461467764197491,35463586.0,35463349.0,35463823.0,474.0,136648,0.0,3448991.5271354136,1857.1460704897215,886.7649581406241,2662639.4361492707,1631.759613469236,-26.0,291.0,285.0,240.0,-36085,30126,0,36085,291.0,2895.0,4144.649999999994,6670.059999999998
35435948,35452425,35435948.0,0.8454816946717182,35452425.0,0.8458748265806798,35444186.5,35435948.0,35452425.0,16477.0,136648,0.0,73265650.72686026,8559.535660703812,2967.8299279901644,64457636.24538615,8028.551316731192,-2.0,491.0,491.0,438.0,-130339,128000,0,130339,491.0,7138.0,15354.299999999988,41947.01999999996
bader,connectome_hybrid_ranking-24cpu,35459266.0,0.8460380489748782,35463349.0,0.8461354670476032,35461307.5,35459266.0,35463349.0,4083.0,136648,0.0,94383860.64096072,9715.13564706951,3106.256820443768,84735029.20640728,9205.163181954314,1448.0,1720.0,841.0,681.0,-134697,37657,0,134697,1720.0,4344.0,6570.9499999999825,26891.949999999983
bader,connectome_hybrid_ranking-48cpu,35459266.0,0.8460380489748782,35463423.0,0.8461372326457863,35461344.5,35459266.0,35463423.0,4157.0,136648,0.0,95005596.06969732,9747.081412899828,3152.3062906153036,85068561.11984451,9223.261956588054,1421.0,1734.0,833.0,664.0,-134697,34069,0,134697,1734.0,4665.300000000003,7199.0,26731.649999999994
bader,connectome_hybrid_ranking-12cpu,35459266.0,0.8460380489748782,35463823.0,0.8461467764197491,35461544.5,35459266.0,35463823.0,4557.0,136648,0.0,95132800.39843978,9753.604482366494,3191.0982817165273,84949692.15486561,9216.815727509453,1449.0,1775.0,868.0,675.0,-134697,22875,0,134697,1775.0,4895.0,7393.0,26655.47999999998
connectome_dimacs_hybrid_ranking_learning-48cpu,connectome_adaptive_out_over_inplus1_learning_ranking,32275253.0,0.7700692980585268,31535251.0,0.7524132685085212,31905252.0,31535251.0,32275253.0,740002.0,136648,0.0,168307717.7099994,12973.346434517172,6585.008196241438,124945384.7654325,11177.897153106773,1886.0,3882.0,3005.0,2384.0,-130182,130850,0,130850,3882.0,12604.300000000003,19479.649999999994,57739.53999999998
bader,connectome_paper_fas_ranking,35459266.0,0.8460380489748782,34660410.0,0.8269777962428596,35059838.0,34660410.0,35459266.0,798856.0,136648,0.0,338442098.4851589,18396.79587550938,9974.958887067502,238942293.68647197,15457.758365509275,-961.0,5350.0,5214.0,3933.0,-132476,134191,0,134191,5350.0,21364.600000000006,32137.649999999994,90248.36999999997
connectome_paper_fas_ranking_20260202_123552,connectome_paper_fas_ranking,33799077.0,0.80642687759616,34660410.0,0.8269777962428596,34229743.5,33799077.0,34660410.0,861333.0,136648,0.0,324498780.7665681,18013.8496931269,9994.174389672737,224615259.03537768,14987.169814056879,3997.5,6287.0,3907.5,3532.0,-133020,29592,0,133020,6287.0,18680.0,26135.29999999999,90621.84999999995
