ranking_A,ranking_B,forward_w_A,forward_ratio_A,forward_w_B,forward_ratio_B,forward_w_gap,forward_ratio_gap,forward_w_gap_frac_total,n,mean_abs,median_abs,p90_abs,p95_abs,p99_abs,max_abs,mean_signed,std_signed,min_signed,max_signed,mean_abs_frac_n,p95_abs_frac_n,max_abs_frac_n,spearman_rho,kendall_tau_approx,overlap_top_100,overlap_top_500,overlap_top_1000,overlap_top_5000,overlap_top_10000
connectome_dimacs_scc_init,connectome_dimacs_scc_init_learning,21280355.0,0.5077372449190797,21280355.0,0.5077372449190797,0.0,0.0,0.0,136648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
connectome_hybrid_ranking-48cpu,connectome_hybrid_ranking-24cpu,35463423.0,0.8461372326457863,35463349.0,0.8461354670476032,74.0,1.7655981831010692e-06,1.7655981831135756e-06,136648,712.1367601428487,218.5,2088.0,3848.0,5920.239999999991,31229,0.0,1612.1657462844105,-29185,31229,0.005211468591877296,0.02815994379720157,0.22853609273461742,0.9991648507989982,0.9859697895468432,1.0,1.0,1.0,1.0,0.9401
connectome_hybrid_ranking-48cpu,connectome_hybrid_ranking-12cpu,35463423.0,0.8461372326457863,35463823.0,0.8461467764197491,400.0,9.543773962783497e-06,9.543773962776084e-06,136648,714.7595134945261,244.0,1937.0,3452.649999999994,6727.119999999995,32497,0.0,1624.536833120437,-32497,31184,0.0052306620916114845,0.02526674375036586,0.23781540893390316,0.9991519844496178,0.9852997794966925,1.0,1.0,1.0,1.0,0.9411
35452425_ranking-24cpu,35452425_ranking-48cpu,35459216.0,0.8460368560031328,35458792.0,0.8460267396027323,424.0,1.0116400400494996e-05,1.011640040054265e-05,136648,716.574980973011,235.0,1588.300000000003,2775.649999999994,7472.059999999998,113850,0.0,2294.287949390677,-113850,101290,0.00524394781462598,0.020312408524091052,0.833162578303378,0.9983086225384953,0.9843897658464877,1.0,1.0,1.0,1.0,0.97
35452425_ranking-24cpu,35452425_ranking-12cpu,35459216.0,0.8460368560031328,35458293.0,0.8460148337447138,923.0,2.2022258419074348e-05,2.2022258419105813e-05,136648,803.3037439259997,259.0,1641.0,3581.649999999994,7646.529999999999,122658,0.0,2455.1601346422854,-122658,101258,0.005878635208169894,0.02621077513026165,0.8976201627539371,0.998063112758541,0.9831797476962154,1.0,1.0,1.0,1.0,0.9716
35452425_ranking-12cpu,35452425_ranking-48cpu,35458293.0,0.8460148337447138,35458792.0,0.8460267396027323,499.0,1.1905858018579352e-05,1.1905858018563165e-05,136648,835.289385867338,275.0,1762.0,3825.0,9604.529999999999,122505,0.0,2469.302435682189,-98992,122505,0.006112708461648454,0.027991628124817047,0.8965004976289445,0.998040734637968,0.9826297394460917,1.0,1.0,1.0,1.0,0.9854
connectome_hybrid_ranking-24cpu,connectome_hybrid_ranking-12cpu,35463349.0,0.8461354670476032,35463823.0,0.8461467764197491,474.0,1.1309372145884566e-05,1.130937214588966e-05,136648,886.7649581406241,291.0,2895.0,4144.649999999994,6670.059999999998,36085,0.0,1857.1460704897215,-36085,30126,0.006489410442455244,0.030330850067326227,0.2640726538258884,0.9988917523513869,0.9829697445461681,1.0,1.0,1.0,1.0,0.957
35435948_ranking-12cpu,35435948_ranking-24cpu,35448482.0,0.8457807488288417,35448587.0,0.8457832540695069,105.0,2.5052406652514847e-06,2.505240665228722e-06,136648,1077.0428839060944,345.0,3331.0,4568.0,8196.649999999994,125872,0.0,2789.2162889418328,-117063,125872,0.007881878138765985,0.03342895615010831,0.9211404484514958,0.9975001780526008,0.9783496752451287,1.0,1.0,1.0,1.0,0.9552
35452425_ranking-24cpu,35435948_ranking-12cpu,35459216.0,0.8460368560031328,35448482.0,0.8457807488288417,10734.0,0.0002561071742911425,0.00025610717429109625,136648,1440.841080732978,326.0,2466.300000000003,5256.649999999994,24697.589999999997,124764,0.0,5529.156452453917,-124764,122897,0.010544179795774385,0.038468546923482186,0.9130320238861893,0.9901765859694054,0.9647394710920664,1.0,1.0,1.0,1.0,0.9576
35452425_ranking-48cpu,35435948_ranking-12cpu,35458792.0,0.8460267396027323,35448482.0,0.8457807488288417,10310.0,0.0002459907738906475,0.00024599077389055355,136648,1449.5001463614542,330.0,2294.0,5501.0,24356.419999999984,124614,0.0,5535.52713270307,-124614,123143,0.010607547467664761,0.04025671799074996,0.9119343129793338,0.990153935902041,0.9641894628419426,1.0,1.0,1.0,1.0,0.9621
35452425_ranking-12cpu,35435948_ranking-12cpu,35458293.0,0.8460148337447138,35448482.0,0.8457807488288417,9811.0,0.00023408491587206814,0.0002340849158719904,136648,1573.243077103214,399.0,2986.300000000003,5841.0,23860.76999999999,124515,0.0,5611.772786568985,-124515,122663,0.011513107232474782,0.04274486271295592,0.9112098237808091,0.9898808310158642,0.9624594368915533,1.0,1.0,1.0,1.0,0.9655
connectome_hybrid_ranking-12cpu,35435948_ranking-12cpu,35463823.0,0.8461467764197491,35448482.0,0.8457807488288417,15341.0,0.0003660275909074251,0.0003660275909073698,136648,1606.3483256249633,656.0,2917.0,4353.649999999994,21544.53,126438,0.0,5931.046120797453,-126438,123088,0.011755373848318039,0.03186032726421165,0.9252824776066975,0.9886966469284539,0.9657994869923049,1.0,1.0,1.0,1.0,0.9583
35452425_ranking-12cpu,35435948_ranking-24cpu,35458293.0,0.8460148337447138,35448587.0,0.8457832540695069,9706.0,0.00023157967520681666,0.0002315796752067617,136648,1623.2414671272174,423.0,3345.0,6019.0,23202.119999999995,123555,0.0,5417.968486567816,-123555,122241,0.011878999086171897,0.04404747965575786,0.9041844739769335,0.9905676992390601,0.9625694385415782,1.0,1.0,1.0,1.0,0.9598
35452425_ranking-48cpu,35435948_ranking-24cpu,35458792.0,0.8460267396027323,35448587.0,0.8457832540695069,10205.0,0.000243485533225396,0.00024348553322532486,136648,1644.8490427960892,387.0,3939.600000000006,5917.649999999994,23357.649999999994,123687,0.0,5367.615047066865,-123687,122684,0.012037124896054748,0.04330579298635907,0.9051504595749663,0.9907422080981324,0.9619994299914498,1.0,1.0,1.0,1.0,0.9678
35452425_ranking-24cpu,35435948_ranking-24cpu,35459216.0,0.8460368560031328,35448587.0,0.8457832540695069,10629.0,0.000253601933625891,0.0002536019336258675,136648,1647.7010420935542,379.0,3951.300000000003,5788.0,23411.649999999994,124034,0.0,5511.293227052607,-124034,122424,0.012057996034289226,0.042357004859200284,0.9076898308061588,0.9902399570819919,0.9620894313414701,1.0,1.0,1.0,1.0,0.9533
connectome_hybrid_ranking-24cpu,35435948_ranking-24cpu,35463349.0,0.8461354670476032,35448587.0,0.8457832540695069,14762.0,0.00035221297809628904,0.0003522129780962514,136648,1661.81960950764,672.0,3125.0,4939.0,21034.53,126242,0.0,5873.956838018001,-126242,122292,0.012161316737220011,0.03614396112639775,0.9238481353550729,0.9889132005136912,0.9640594608919134,1.0,1.0,1.0,1.0,0.9728
