best_ranking,other_ranking,best_forward_w,best_forward_ratio,other_forward_w,other_forward_ratio,forward_w_gap,forward_ratio_gap,n,mean_abs,median_abs,p90_abs,p95_abs,p99_abs,max_abs,mean_signed,std_signed,min_signed,max_signed,mean_abs_frac_n,p95_abs_frac_n,spearman_rho,overlap_top_100,overlap_top_500,overlap_top_1000,overlap_top_5000,overlap_top_10000
connectome_hybrid_ranking-12cpu,connectome_hybrid_ranking-48cpu,35463823.0,0.8461467764197491,35463423.0,0.8461372326457863,400.0,9.543773962783497e-06,136648,714.7595134945261,244.0,1937.0,3452.649999999994,6727.119999999995,32497,0.0,1624.536833120437,-31184,32497,0.0052306620916114845,0.02526674375036586,0.9991519844496178,1.0,1.0,1.0,1.0,0.9411
connectome_hybrid_ranking-12cpu,connectome_hybrid_ranking-24cpu,35463823.0,0.8461467764197491,35463349.0,0.8461354670476032,474.0,1.1309372145884566e-05,136648,886.7649581406241,291.0,2895.0,4144.649999999994,6670.059999999998,36085,0.0,1857.1460704897215,-30126,36085,0.006489410442455244,0.030330850067326227,0.9988917523513869,1.0,1.0,1.0,1.0,0.957
connectome_hybrid_ranking-12cpu,bader,35463823.0,0.8461467764197491,35459266.0,0.8460380489748782,4557.0,0.00010872744487089303,136648,3191.0982817165273,1775.0,4895.0,7393.0,26655.47999999998,134697,0.0,9753.604482366494,-22875,134697,0.023352689257922013,0.054102511562554884,0.9694314406057392,0.21,0.338,0.393,0.5194,0.8437
connectome_hybrid_ranking-12cpu,35452425_ranking-24cpu,35463823.0,0.8461467764197491,35459216.0,0.8460368560031328,4607.0,0.0001099204166162826,136648,1771.3462180200222,590.0,2706.0,5209.0,25591.359999999986,126229,0.0,6412.799183685689,-126229,120533,0.012962840422252958,0.038119840758737776,0.9867858275105585,1.0,1.0,1.0,1.0,0.96
connectome_hybrid_ranking-12cpu,35452425_ranking-48cpu,35463823.0,0.8461467764197491,35458792.0,0.8460267396027323,5031.0,0.0001200368170167776,136648,1861.2016714478075,641.0,3248.0,5623.0,25794.76999999999,126323,0.0,6438.946236925303,-126323,120589,0.013620409164040509,0.041149522861659155,0.9866778509333994,1.0,1.0,1.0,1.0,0.9473
connectome_hybrid_ranking-12cpu,35452425_ranking-12cpu,35463823.0,0.8461467764197491,35458293.0,0.8460148337447138,5530.0,0.00013194267503535695,136648,1893.4378988349629,660.0,2942.300000000003,6265.649999999994,26293.359999999986,126364,0.0,6558.431812170471,-126364,120509,0.01385631622003222,0.04585248229026399,0.9861788332668552,1.0,1.0,1.0,1.0,0.9529
connectome_hybrid_ranking-12cpu,35452425,35463823.0,0.8461467764197491,35452425.0,0.8458748265806798,11398.0,0.0002719498390693076,136648,11960.591973537848,7790.0,17642.300000000003,53714.59999999998,98851.12,132592,0.0,22007.28685370044,-132592,128687,0.0875284817453446,0.39308734851589466,0.8443755965635614,0.01,0.066,0.127,0.372,0.4336
connectome_hybrid_ranking-12cpu,35435948_ranking-24cpu,35463823.0,0.8461467764197491,35448587.0,0.8457832540695069,15236.0,0.0003635223502421736,136648,1733.223815935835,688.0,3493.0,5541.649999999994,21122.359999999986,126231,0.0,5922.703193272163,-126231,122582,0.012683857911830652,0.04055419764650777,0.9887284243679416,1.0,1.0,1.0,1.0,0.9384
connectome_hybrid_ranking-12cpu,35435948_ranking-12cpu,35463823.0,0.8461467764197491,35448482.0,0.8457807488288417,15341.0,0.0003660275909074251,136648,1606.3483256249633,656.0,2917.0,4353.649999999994,21544.53,126438,0.0,5931.046120797453,-126438,123088,0.011755373848318039,0.03186032726421165,0.9886966469284539,1.0,1.0,1.0,1.0,0.9583
connectome_hybrid_ranking-12cpu,35435948,35463823.0,0.8461467764197491,35435948.0,0.8454816946717182,27875.0,0.0006650817480309268,136648,11939.550904513788,7758.0,16972.0,54512.84999999995,98846.59,131161,0.0,22062.69612709145,-131161,127828,0.08737450167228052,0.3989290000585442,0.8435909573137812,0.01,0.06,0.106,0.3678,0.4421
connectome_hybrid_ranking-12cpu,connectome_paper_fas_ranking,35463823.0,0.8461467764197491,34660410.0,0.8269777962428596,803413.0,0.019168980176889505,136648,10945.114601018675,5647.0,22269.0,35537.899999999965,98438.59999999998,135921,0.0,20725.99546519647,-127504,135921,0.08009714449548237,0.26006893624495026,0.8619693641377894,0.05,0.052,0.094,0.4132,0.716
connectome_hybrid_ranking-12cpu,connectome_paper_fas_ranking_20260202_123552,35463823.0,0.8461467764197491,33799077.0,0.80642687759616,1664746.0,0.03971989882358906,136648,15585.31145717464,9961.5,29512.0,63975.0,106066.59,135248,0.0,25295.405648954482,-126382,135248,0.11405444248854457,0.46817370177390083,0.7943976909568626,0.01,0.028,0.041,0.1892,0.432
connectome_hybrid_ranking-12cpu,connectome_dimacs_hybrid_ranking_learning-48cpu,35463823.0,0.8461467764197491,32275253.0,0.7700692980585268,3188570.0,0.07607747836122236,136648,21031.70988232539,12836.5,53894.40000000005,73486.44999999992,106022.65,127666,0.0,31428.9889426852,-127666,127553,0.1539115821843378,0.5377791844739764,0.6826010312317168,0.05,0.074,0.168,0.7484,0.8005
connectome_hybrid_ranking-12cpu,connectome_adaptive_out_over_inplus1_learning_ranking,35463823.0,0.8461467764197491,31535251.0,0.7524132685085212,3928572.0,0.09373350791122792,136648,23208.928268251275,15130.0,57421.3,76973.65,109583.53,134012,0.0,33607.14385069489,-129747,134012,0.16984462464325328,0.5632987676365552,0.6370825080448675,0.22,0.388,0.41,0.6272,0.6634
connectome_hybrid_ranking-12cpu,connectome_dimacs_scc_init,35463823.0,0.8461467764197491,21280355.0,0.5077372449190797,14183468.0,0.33840953150066944,136648,39494.93959662783,33843.5,85633.3,97926.0,113590.65,126183,0.0,50057.530892950774,-126169,126183,0.2890268397388021,0.7166295884315906,0.19483750091882457,0.05,0.074,0.168,0.7484,0.7659
connectome_hybrid_ranking-12cpu,connectome_dimacs_scc_init_learning,35463823.0,0.8461467764197491,21280355.0,0.5077372449190797,14183468.0,0.33840953150066944,136648,39494.93959662783,33843.5,85633.3,97926.0,113590.65,126183,0.0,50057.530892950774,-126169,126183,0.2890268397388021,0.7166295884315906,0.19483750091882457,0.05,0.074,0.168,0.7484,0.7659
