ranking,csv_path,n_nodes,forward_w,backward_w,total_w,forward_ratio
connectome_hybrid_ranking-12cpu,connectome_hybrid_ranking-12cpu.csv,136648,35463823.0,6448318.0,41912141.0,0.8461467764197491
connectome_hybrid_ranking-48cpu,connectome_hybrid_ranking-48cpu.csv,136648,35463423.0,6448718.0,41912141.0,0.8461372326457863
connectome_hybrid_ranking-24cpu,connectome_hybrid_ranking-24cpu.csv,136648,35463349.0,6448792.0,41912141.0,0.8461354670476032
bader,bader.csv,136648,35459266.0,6452875.0,41912141.0,0.8460380489748782
35452425_ranking-24cpu,35452425_ranking-24cpu.csv,136648,35459216.0,6452925.0,41912141.0,0.8460368560031328
35452425_ranking-48cpu,35452425_ranking-48cpu.csv,136648,35458792.0,6453349.0,41912141.0,0.8460267396027323
35452425_ranking-12cpu,35452425_ranking-12cpu.csv,136648,35458293.0,6453848.0,41912141.0,0.8460148337447138
35452425,35452425.csv,136648,35452425.0,6459716.0,41912141.0,0.8458748265806798
35435948_ranking-24cpu,35435948_ranking-24cpu.csv,136648,35448587.0,6463554.0,41912141.0,0.8457832540695069
35435948_ranking-12cpu,35435948_ranking-12cpu.csv,136648,35448482.0,6463659.0,41912141.0,0.8457807488288417
35435948,35435948.csv,136648,35435948.0,6476193.0,41912141.0,0.8454816946717182
connectome_paper_fas_ranking,connectome_paper_fas_ranking.csv,136648,34660410.0,7251731.0,41912141.0,0.8269777962428596
connectome_paper_fas_ranking_20260202_123552,connectome_paper_fas_ranking_20260202_123552.csv,136648,33799077.0,8113064.0,41912141.0,0.80642687759616
connectome_dimacs_hybrid_ranking_learning-48cpu,connectome_dimacs_hybrid_ranking_learning-48cpu.csv,136648,32275253.0,9636888.0,41912141.0,0.7700692980585268
connectome_adaptive_out_over_inplus1_learning_ranking,connectome_adaptive_out_over_inplus1_learning_ranking.csv,136648,31535251.0,10376890.0,41912141.0,0.7524132685085212
connectome_dimacs_scc_init,connectome_dimacs_scc_init.csv,136648,21280355.0,20631786.0,41912141.0,0.5077372449190797
connectome_dimacs_scc_init_learning,connectome_dimacs_scc_init_learning.csv,136648,21280355.0,20631786.0,41912141.0,0.5077372449190797
