seed,lambda,n,m,total_w,rand_fw,rand_bw,after_rocket_fw,after_rocket_bw,after_crane_fw,after_crane_bw,final_fw,final_bw,chosen,elapsed_s,out_csv,out_log,seke_tau,seke_q_min,seke_q_med,seke_q_mean,seke_q_max,seke_q_pct_gt_0p5
1,0.0,136648,5657719,41912141.0,20900875.0,21011266.0,33292079.0,8620062.0,33557651.0,8354490.0,33557651.0,8354490.0,rocket(+seke)+crane,78.84582138061523,./seke_ablation_outputs/connectome_seke_rocketcrane_cycle_seed1_lam0_ranking.csv,./seke_ablation_outputs/connectome_seke_rocketcrane_cycle_seed1_lam0.log,0.004662004662004651,0.4767979085445404,0.5,0.5188815593719482,1.0,49.98852010854551
1,0.5,136648,5657719,41912141.0,20900875.0,21011266.0,33350803.0,8561338.0,33610698.0,8301443.0,33610698.0,8301443.0,rocket(+seke)+crane,75.35583329200745,./seke_ablation_outputs/connectome_seke_rocketcrane_cycle_seed1_lam0p5_ranking.csv,./seke_ablation_outputs/connectome_seke_rocketcrane_cycle_seed1_lam0p5.log,0.004662004662004651,0.4767979085445404,0.5,0.5188815593719482,1.0,49.98852010854551
2,0.0,136648,5657719,41912141.0,20936202.0,20975939.0,33308352.0,8603789.0,33575191.0,8336950.0,33575191.0,8336950.0,rocket(+seke)+crane,77.03482484817505,./seke_ablation_outputs/connectome_seke_rocketcrane_cycle_seed2_lam0_ranking.csv,./seke_ablation_outputs/connectome_seke_rocketcrane_cycle_seed2_lam0.log,0.004662004662004651,0.4767979085445404,0.5,0.5188815593719482,1.0,49.98852010854551
2,0.5,136648,5657719,41912141.0,20936202.0,20975939.0,33355820.0,8556321.0,33614813.0,8297328.0,33614813.0,8297328.0,rocket(+seke)+crane,76.02975916862488,./seke_ablation_outputs/connectome_seke_rocketcrane_cycle_seed2_lam0p5_ranking.csv,./seke_ablation_outputs/connectome_seke_rocketcrane_cycle_seed2_lam0p5.log,0.004662004662004651,0.4767979085445404,0.5,0.5188815593719482,1.0,49.98852010854551
3,0.0,136648,5657719,41912141.0,21002139.0,20910002.0,33312983.0,8599158.0,33578226.0,8333915.0,33578226.0,8333915.0,rocket(+seke)+crane,77.75488257408142,./seke_ablation_outputs/connectome_seke_rocketcrane_cycle_seed3_lam0_ranking.csv,./seke_ablation_outputs/connectome_seke_rocketcrane_cycle_seed3_lam0.log,0.004662004662004651,0.4767979085445404,0.5,0.5188815593719482,1.0,49.98852010854551
3,0.5,136648,5657719,41912141.0,21002139.0,20910002.0,33363645.0,8548496.0,33621981.0,8290160.0,33621981.0,8290160.0,rocket(+seke)+crane,80.20290470123291,./seke_ablation_outputs/connectome_seke_rocketcrane_cycle_seed3_lam0p5_ranking.csv,./seke_ablation_outputs/connectome_seke_rocketcrane_cycle_seed3_lam0p5.log,0.004662004662004651,0.4767979085445404,0.5,0.5188815593719482,1.0,49.98852010854551
4,0.0,136648,5657719,41912141.0,21000659.0,20911482.0,33305645.0,8606496.0,33570676.0,8341465.0,33570676.0,8341465.0,rocket(+seke)+crane,77.72399091720581,./seke_ablation_outputs/connectome_seke_rocketcrane_cycle_seed4_lam0_ranking.csv,./seke_ablation_outputs/connectome_seke_rocketcrane_cycle_seed4_lam0.log,0.004662004662004651,0.4767979085445404,0.5,0.5188815593719482,1.0,49.98852010854551
4,0.5,136648,5657719,41912141.0,21000659.0,20911482.0,33345001.0,8567140.0,33608597.0,8303544.0,33608597.0,8303544.0,rocket(+seke)+crane,79.0392816066742,./seke_ablation_outputs/connectome_seke_rocketcrane_cycle_seed4_lam0p5_ranking.csv,./seke_ablation_outputs/connectome_seke_rocketcrane_cycle_seed4_lam0p5.log,0.004662004662004651,0.4767979085445404,0.5,0.5188815593719482,1.0,49.98852010854551
5,0.0,136648,5657719,41912141.0,20908108.0,21004033.0,33286589.0,8625552.0,33550671.0,8361470.0,33550671.0,8361470.0,rocket(+seke)+crane,79.61792922019958,./seke_ablation_outputs/connectome_seke_rocketcrane_cycle_seed5_lam0_ranking.csv,./seke_ablation_outputs/connectome_seke_rocketcrane_cycle_seed5_lam0.log,0.004662004662004651,0.4767979085445404,0.5,0.5188815593719482,1.0,49.98852010854551
5,0.5,136648,5657719,41912141.0,20908108.0,21004033.0,33341556.0,8570585.0,33597198.0,8314943.0,33597198.0,8314943.0,rocket(+seke)+crane,81.6301155090332,./seke_ablation_outputs/connectome_seke_rocketcrane_cycle_seed5_lam0p5_ranking.csv,./seke_ablation_outputs/connectome_seke_rocketcrane_cycle_seed5_lam0p5.log,0.004662004662004651,0.4767979085445404,0.5,0.5188815593719482,1.0,49.98852010854551
